Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region
Fullstack.AI Force,CertifyO,https://unstop.com/hackathons/fullstackai-force-certifyo-1485548,2025-05-27T00:00:00+05:30,hackathons,recent,90,N/A,39789,"Hackathon, Coding Challenge, Case Study, All","Hackathon, Coding Challenge, Case Study, All",online
EcoHack: Ctrl+Alt+Sustain,"Veer Surendra Sai University of Technology (VSSUT), Odisha",https://unstop.com/hackathons/ecohack-ctrlaltsustain-ieee-seed-2025-veer-surendra-sai-university-of-technology-vssut-odisha-1485513,2025-05-27T20:30:00+05:30,hackathons,recent,311,N/A,45878,"Hackathon, Engineering Students, Undergraduate","Hackathon, Engineering Students, Undergraduate",online
Biweekly - 1 Coding Challenge,"GL Bajaj Institute Of Technology And Management (GLBITM), Greater Noida",https://unstop.com/hackathons/biweekly-1-coding-challenge-gl-bajaj-institute-of-technology-and-management-glbitm-greater-noida-1485459,2025-05-26T00:00:00+05:30,hackathons,recent,1020,24,73598,"Coding Challenge, Hackathon, All","Coding Challenge, Hackathon, All",online
Hack4Health-The HealthTech Hackathon,"Indraprastha Institute of Information Technology (IIIT), Delhi",https://unstop.com/hackathons/hack4health-the-healthtech-hackathon-indraprastha-institute-of-information-technology-iiit-delhi-1474567,2025-05-06T00:00:00+05:30,hackathons,recent,1669,N/A,90184,"Hackathon, All","Hackathon, All",offline
Hack The Haze,Brainfog Ageny LLP,https://unstop.com/hackathons/hack-the-haze-brainfog-ageny-llp-1483899,2025-05-23T00:00:00+05:30,N/A,recent,326,N/A,42040,"All, Case Study, Hackathon, Coding Challenge, Data Analytics, Data Science","All, Case Study, Hackathon, Coding Challenge, Data Analytics, Data Science",online
Webify - IdEEEas 2K25,Siddaganga institute of technology Tumakuru,https://unstop.com/hackathons/webify-ideeeas-2k25-siddaganga-institute-of-technology-tumakuru-1484425,2025-05-24T00:00:00+05:30,hackathons,recent,96,N/A,31071,"Coding Challenge, Engineering Students, Undergraduate","Coding Challenge, Engineering Students, Undergraduate",offline
IdEEEas 2K25,"Siddaganga Institute of Technology (SIT), Tumkur",https://unstop.com/hackathons/ideas-2k25-siddaganga-institute-of-technology-sit-tumkur-1484385,2025-05-24T00:00:00+05:30,hackathons,recent,10,N/A,55614,"Engineering Students, Undergraduate, Coding Challenge","Engineering Students, Undergraduate, Coding Challenge",offline
Nirvana - 60-day Hackathon + Innovation Program,Brudite Private Limited,https://unstop.com/hackathons/nirvana-60-day-hackathon-innovation-program-brudite-private-limited-1483926,2025-05-23T00:00:00+05:30,hackathons,recent,614,N/A,63317,"Coding Challenge, Others, Engineering Students, Postgraduate, Undergraduate","Coding Challenge, Others, Engineering Students, Postgraduate, Undergraduate",offline
Kleos 3.0,Dr. D Y Patil's Ramrao Adik Institute Of Technology,https://unstop.com/hackathons/kleos-30-dr-d-y-patils-ramrao-adik-institute-of-technology-1479318,2025-05-17T23:00:08+05:30,hackathons,recent,785,7,28191,"Hackathon, Fresher, Experienced Professionals, Engineering Students, MBA Students, Postgraduate, Undergraduate","Hackathon, Fresher, Experienced Professionals, Engineering Students, MBA Students, Postgraduate, Undergraduate",online
Innovate & Inspire - Season 13,K. Ramakrishnan College of Engineering ,https://unstop.com/hackathons/innovate-inspire-season-13-k-ramakrishnan-college-of-engineering-1483718,2025-05-23T10:11:00+05:30,hackathons,recent,617,7,106481,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",online
Reflux,"Vellore Institute of Technology, Bhopal",https://unstop.com/hackathons/reflux-vellore-institute-of-technology-bhopal-1482156,2025-05-20T00:00:00+05:30,hackathons,recent,194,N/A,52548,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, College Festival, Conference","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, College Festival, Conference",online
Intellify – National Level Hackathon 3.0,"Marwadi University (MU), Gujarat",https://unstop.com/hackathons/intellify-national-level-hackathon-30-marwadi-university-mu-gujarat-1465258,2025-04-17T00:00:00+05:30,hackathons,recent,215,14,93397,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Data Science, Entrepreneurship, Fellowships, Data Analytics","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Data Science, Entrepreneurship, Fellowships, Data Analytics",offline
Frontend.AI (Frontend + AI Hackathon),CertifyO,https://unstop.com/hackathons/frontendai-frontend-ai-hackathon-certifyo-1482556,2025-05-19T00:00:00+05:30,N/A,recent,168,N/A,42920,"All, Hackathon, Coding Challenge, Case Study, Article Writing","All, Hackathon, Coding Challenge, Case Study, Article Writing",online
Cyberयज्ञ,International College For Security Studies,https://unstop.com/hackathons/cyberyagya-international-college-for-security-studies-1482449,2025-05-19T00:00:00+05:30,hackathons,recent,896,N/A,73021,"Hackathon, All","Hackathon, All",offline
Flipr Web Development Hackathon,Flipr Innovation Labs,https://unstop.com/hackathons/flipr-hackathon-272-fullstack-web-development-flipr-innovation-labs-1481852,2025-05-19T00:00:00+05:30,hackathons,recent,67,N/A,38538,"All, Coding Challenge","All, Coding Challenge",online
Flipr Generative AI Hackathon,Flipr Innovation Labs,https://unstop.com/hackathons/flipr-hackathon-271-generative-ai-flipr-innovation-labs-1481845,2025-05-19T00:00:00+05:30,hackathons,recent,64,N/A,46855,"All, Coding Challenge","All, Coding Challenge",online
Indias Biggest Generative AI Buildathon 2.0,100x Engineers,https://unstop.com/hackathons/indias-biggest-generative-ai-buildathon-20-100x-engineers-1479586,2025-05-15T00:00:00+05:30,hackathons,recent,54,N/A,19097,"Coding Challenge, Hackathon, Entrepreneurship, Designing, Workshops, Fresher, Experienced Professionals","Coding Challenge, Hackathon, Entrepreneurship, Designing, Workshops, Fresher, Experienced Professionals",offline
Web3SSH: Web3 Summer School & Hackathon 2025,"Indian Institute of Information Technology (IIIT), Sri City",https://unstop.com/hackathons/web3ssh-web3-summer-school-hackathon-2025-indian-institute-of-information-technology-iiit-sri-city-1481478,2025-05-19T00:00:00+05:30,hackathons,recent,59,3,101539,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Camps, Workshops","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Camps, Workshops",online
Frontend.AI — A Frontend + AI Hackathon,CertifyO,https://unstop.com/hackathons/frontendai-a-frontend-ai-hackathon-certifyo-1481368,2025-05-19T00:00:00+05:30,N/A,recent,13,N/A,12443,"Hackathon, Coding Challenge, Case Study, Article Writing, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals","Hackathon, Coding Challenge, Case Study, Article Writing, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals",online
Hackathon 2k25,St. Joseph College of Engineering,https://unstop.com/hackathons/hackathon-2k25-st-joseph-college-of-engineering-1474162,2025-05-05T00:00:00+05:30,N/A,recent,154,N/A,66056,"Hackathon, All","Hackathon, All",offline
Code For Bharat Season 2 Hackathon,Tech Masters India,https://unstop.com/hackathons/code-for-bharat-season-2-hackathon-tech-masters-india-1480301,2025-05-16T09:00:00+05:30,hackathons,recent,2835,3,101551,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Fellowships","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Fellowships",offline
Sankalp 101 - 24-Hour Virtual 2D Hackathon,TrishulX Community,https://unstop.com/hackathons/sankalp-101-24-hour-virtual-2d-hackathon-trishulx-community-1479276,2025-05-14T00:00:00+05:30,hackathons,recent,1399,N/A,84873,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Presentation","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Presentation",online
Field Fusion Hack,"R. V. College of Engineering, Bengaluru, Karnataka",https://unstop.com/hackathons/field-fusion-hack-r-v-college-of-engineering-bengaluru-karnataka-1480810,2025-05-17T00:00:00+05:30,hackathons,recent,710,N/A,78999,"College Festival, Business Plan, Hackathon, Coding Challenge, Awards, All","College Festival, Business Plan, Hackathon, Coding Challenge, Awards, All",offline
HackingFlix 10x Design Hackathon,HackingFlix,https://unstop.com/hackathons/hackingflix-10x-design-hackathon-hackingflix-1480086,2025-05-17T13:47:58+05:30,hackathons,recent,724,N/A,54977,"Designing, Hackathon, Entrepreneurship, Business Plan, All","Designing, Hackathon, Entrepreneurship, Business Plan, All",online
Hack-4-Mini 2.0,"CMR Technical Campus (CMRCTC), Telangana",https://unstop.com/hackathons/hack-4-mini-20-cmr-technical-campus-cmrctc-telangana-1477021,2025-05-10T00:00:00+05:30,hackathons,recent,1458,N/A,39408,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Coding Challenge, Entrepreneurship, Hackathon, Online Quiz, Presentation","Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Coding Challenge, Entrepreneurship, Hackathon, Online Quiz, Presentation",online
Hack The Haze,Brainfog Ageny LLP,https://unstop.com/hackathons/hack-the-haze-brainfog-ageny-llp-1478920,2025-05-16T00:00:53+05:30,hackathons,recent,168,N/A,13138,"All, Hackathon, Case Study, Coding Challenge","All, Hackathon, Case Study, Coding Challenge",online
Central India Hackathon 2.0,"Suryodaya College of Engineering & Technology, Nagpur",https://unstop.com/hackathons/central-india-hackathon-20-suryodaya-college-of-engineering-technology-nagpur-1478455,2025-05-14T00:00:00+05:30,hackathons,recent,2059,N/A,61677,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals, Hackathon, Coding Challenge, Entrepreneurship","Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals, Hackathon, Coding Challenge, Entrepreneurship",offline
Inceptia Hackathon,"Pimpri Chinchwad College Of Engineering & Research (PCCOE &R), Pimpri-Chinchwad, Pune",https://unstop.com/hackathons/inceptia-hackathon-pimpri-chinchwad-college-of-engineering-research-pccoe-r-pimpri-chinchwad-pune-1479480,2025-05-15T00:00:00+05:30,hackathons,recent,1680,N/A,97612,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Presentation, Hackathon, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Presentation, Hackathon, Coding Challenge",offline
RealSolve 1.0 – Build Solutions That Matter,Design Mix Studio,https://unstop.com/hackathons/realsolve-10-build-solutions-that-matter-design-mix-studio-1479465,2025-05-15T00:00:00+05:30,hackathons,recent,54,N/A,22449,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals",online
Code Cubicle 4.0,Geek Room,https://unstop.com/p/code-cubicle-40-geek-room-1478969,2025-05-14T00:00:00+05:30,hackathons,recent,1989,3,108950,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Entrepreneurship","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Entrepreneurship",offline
CodeNCompete,State Institute of engineering and technology Nilokheri,https://unstop.com/hackathons/codencompete-state-institute-of-engineering-and-technology-nilokheri-1479047,2025-05-14T00:00:00+05:30,hackathons,recent,70,N/A,9706,"Coding Challenge, All","Coding Challenge, All",online
IndiaStox Investment Research Hackathon,Indiastox,https://unstop.com/hackathons/indiastox-investment-research-hackathon-indiastox-1469700,2025-05-09T09:30:00+05:30,hackathons,recent,379,N/A,43451,"Case Study, Finance, Hackathon, Online Trading, Presentation, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals","Case Study, Finance, Hackathon, Online Trading, Presentation, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals",online
Design-A-Thon,"R.V. College of Engineering (RVCE), Bangalore",https://unstop.com/hackathons/design-a-thon-rv-college-of-engineering-rvce-bangalore-1477168,2025-05-10T00:00:00+05:30,hackathons,recent,18,N/A,25128,"Engineering Students, Undergraduate, Designing, Hackathon, Presentation","Engineering Students, Undergraduate, Designing, Hackathon, Presentation",online
T20 DSA Challenge,AlgoUniversity,https://unstop.com/hackathons/t20-dsa-challenge-algouniversity-1478586,2025-05-13T00:00:00+05:30,hackathons,recent,997,N/A,56699,"All, Coding Challenge","All, Coding Challenge",online
HackOn With Amazon - Season 5,Amazon,https://unstop.com/hackathons/hackon-with-amazon-season-5-amazon-1473780,2025-05-04T12:27:11+05:30,hackathons,recent,52639,N/A,5009587,"Engineering Students, Undergraduate, Hackathon, Postgraduate, Coding Challenge","Engineering Students, Undergraduate, Hackathon, Postgraduate, Coding Challenge",online
Hack the Haze,Brainfog Ageny LLP,https://unstop.com/hackathons/hack-the-haze-brainfog-ageny-llp-1477681,2025-05-12T00:00:00+05:30,hackathons,recent,101,N/A,24878,"All, Coding Challenge, Hackathon","All, Coding Challenge, Hackathon",online
Hackmern.Ai ( Mern + Ai),CertifyO,https://unstop.com/hackathons/hackmernai-mern-ai-certifyo-1477604,2025-05-11T00:00:00+05:30,hackathons,recent,131,N/A,41953,"Hackathon, Coding Challenge, Case Study, Business Plan, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Case Study, Business Plan, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Buildverse,Scaler School of Technology,https://unstop.com/hackathons/buildverse-scaler-school-of-technology-1476653,2025-05-09T00:00:00+05:30,hackathons,recent,1939,N/A,61660,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Navikshaa DevBattleground,Navikshaa,https://unstop.com/hackathons/navikshaa-devbattleground-navikshaa-1476395,2025-05-09T00:00:00+05:30,hackathons,recent,1011,N/A,49567,"Hackathon, Coding Challenge, Designing, Data Analytics, Data Science, All","Hackathon, Coding Challenge, Designing, Data Analytics, Data Science, All",online
I.D.E.A. Hackathon- Innovation Driven Entrepreneurial Adventure,E3l Solutions Private Limited,https://unstop.com/hackathons/idea-hackathon-innovation-driven-entrepreneurial-adventure-e3l-solution-pvt-ltd-1476255,2025-05-08T00:00:00+05:30,hackathons,recent,907,N/A,132646,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
InnoV8rix & Hacksummit' 25 : A 3 Days Tech Fest & 24 Hours Hackathon.,"P A College of Engineering (PACOE), Mangalore",https://unstop.com/hackathons/innov8rix-hacksummit-25-a-3-days-tech-fest-24-hours-hackathon-p-a-college-of-engineering-pacoe-mangalore-1475914,2025-05-08T00:00:00+05:30,hackathons,recent,46,N/A,14524,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals",offline
Hackzilla - 24 Hour Hackathon,"Indian Institute of Information Technology (IIIT), Sonepat",https://unstop.com/hackathons/hackza-24-hour-hackathon-indian-institute-of-information-technology-iiit-sonepat-1475492,2025-05-07T00:00:00+05:30,hackathons,recent,1130,N/A,61036,"Hackathon, Coding Challenge, Strategy, Engineering Students, Undergraduate","Hackathon, Coding Challenge, Strategy, Engineering Students, Undergraduate",offline
Cryptic Hunt,Galgotias College Of Engineering & Technology,https://unstop.com/hackathons/cryptic-hunt-galgotias-college-of-engineering-technology-1475440,2025-05-07T00:00:00+05:30,hackathons,recent,52,N/A,14533,"Treasure Hunt, Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate","Treasure Hunt, Coding Challenge, College Festival, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
The Matrix Protocol - AI Hackathon,LenDenClub,https://unstop.com/hackathons/the-matrix-protocol-ai-hackathon-lendenclub-1475320,2025-05-07T00:00:00+05:30,hackathons,recent,1767,N/A,50289,"Data Analytics, Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals, Coding Challenge, Data Science, Finance, Hackathon","Data Analytics, Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals, Coding Challenge, Data Science, Finance, Hackathon",offline
Piet NextGen,"Panipat Institute of Engineering & Technology, Panipat",https://unstop.com/hackathons/piet-nextgen-panipat-institute-of-engineering-technology-panipat-1474869,2025-05-06T00:00:00+05:30,hackathons,recent,120,N/A,32800,"All, Case Study, Coding Challenge","All, Case Study, Coding Challenge",offline
Hackcelerate,Muffakham Jah College of Engineering & Technology,https://unstop.com/hackathons/hackcelerate-muffakham-jah-college-of-engineering-technology-1474972,2025-05-06T00:00:00+05:30,hackathons,recent,427,N/A,33160,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Business Plan, Entrepreneurship, Hackathon, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Business Plan, Entrepreneurship, Hackathon, Coding Challenge",online
Altair PSIM Contest,"FR. C. Rodrigues Institute of Technology (FCRIT), Navi Mumbai",https://unstop.com/hackathons/altair-psim-contest-fr-c-rodrigues-institute-of-technology-fcrit-navi-mumbai-1473836,2025-05-05T20:00:00+05:30,hackathons,recent,348,8,115607,"Designing, Case Study, Simulation Game, Engineering Students, MBA Students, Undergraduate, Postgraduate","Designing, Case Study, Simulation Game, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Ultimate Coding Showdown,ANDi Software Solutions,https://unstop.com/hackathons/ultimate-coding-showdown-andi-software-solutions-1474862,2025-05-06T17:56:40+05:30,hackathons,recent,807,19,93970,"Entrepreneurship, Article Writing, Business Plan, Coding Challenge, Designing, Engineering Students, Postgraduate, Undergraduate","Entrepreneurship, Article Writing, Business Plan, Coding Challenge, Designing, Engineering Students, Postgraduate, Undergraduate",online
Hackhub 2.0,VLGE Institute Private Limited,https://unstop.com/hackathons/hackhub-20-vlge-institute-private-limited-1474407,2025-05-04T23:00:00+05:30,hackathons,recent,66,4,106138,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Awards, Hackathon, Coding Challenge, Case Study, Panel Discussion","Engineering Students, MBA Students, Undergraduate, Postgraduate, Awards, Hackathon, Coding Challenge, Case Study, Panel Discussion",online
JJK Hackathon 2025 - Unleash Your Cursed Technique!,"IIMT University (IIMTU), Meerut, Uttar Pradesh",https://unstop.com/hackathons/jjk-hackathon-2025-unleash-your-cursed-technique-iimt-university-iimtu-meerut-uttar-pradesh-1474119,2025-05-05T00:00:00+05:30,hackathons,recent,877,N/A,69028,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, Hackathon","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, Hackathon",offline
Code-A-Thon 2nd Year,RR institute of modern technology lucknow,https://unstop.com/hackathons/code-a-thon-2nd-year-rr-institute-of-modern-technology-lucknow-1473646,2025-05-03T00:00:00+05:30,hackathons,recent,298,N/A,8309,"Engineering Students, Undergraduate, Postgraduate, Camps","Engineering Students, Undergraduate, Postgraduate, Camps",online
Code-A-Thon,RR Institute of Modern Technology,https://unstop.com/hackathons/code-a-thon-rr-institute-of-modern-technology-1473689,2025-05-03T00:00:00+05:30,hackathons,recent,107,N/A,7636,"Engineering Students, Undergraduate, Postgraduate, Camps","Engineering Students, Undergraduate, Postgraduate, Camps",online
VibeCoder ( AI + Coding),CertifyO,https://unstop.com/hackathons/vibecoder-ai-coding-certifyo-1473843,2025-05-04T00:00:00+05:30,N/A,recent,81,N/A,31258,"Coding Challenge, Hackathon, Data Science, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Hackathon, Data Science, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Synaphack 3.0: Building the Future of Food with Web3,College Crave,https://unstop.com/hackathons/synaphack-30-building-the-future-of-food-with-web3-college-crave-1473853,2025-05-04T00:00:00+05:30,hackathons,recent,407,N/A,92830,"Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
SJIM Healthcare Hackathon,St.Joseph's Institute Of Management,https://unstop.com/hackathons/sjim-healthcare-hackathon-stjosephs-institute-of-management-1473688,2025-05-03T00:00:00+05:30,hackathons,recent,1588,N/A,61585,"Hackathon, Business Plan, Case Study, All","Hackathon, Business Plan, Case Study, All",online
AgentX: The Uptiq AI Challenge,Uptiq Inc,https://unstop.com/hackathons/agentx-the-uptiq-ai-challenge-uptiq-inc-1471065,2025-04-29T00:00:00+05:30,hackathons,recent,561,N/A,21360,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals, Hackathon, Business Plan, Case Study, Entrepreneurship, Panel Discussion","Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals, Hackathon, Business Plan, Case Study, Entrepreneurship, Panel Discussion",online
Galgotias International Hackathon 2.0,"Galgotias College of Engineering & Technology (GCET), Greater Noida",https://unstop.com/hackathons/galgotias-international-hackathon-20-galgotias-college-of-engineering-technology-gcet-greater-noida-1472431,2025-04-30T00:00:00+05:30,hackathons,recent,2083,N/A,68224,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, College Festival, Presentation","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, College Festival, Presentation",online
augg.io Augmented Reality Hackathon,AIXR,https://unstop.com/hackathons/augmented-reality-hackathon-los-angeles-aixr-1473338,2025-06-26T14:30:00+05:30,hackathons,recent,121,N/A,41998,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals, Hackathon, Coding Challenge, Conference","Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals, Hackathon, Coding Challenge, Conference",online
VLGE Hackathon 2025,VLGE Institute Private Limited,https://unstop.com/hackathons/vlge-hackathon-2025-vlge-institute-private-limited-1473226,2025-05-02T00:00:00+05:30,hackathons,recent,51,N/A,86399,"Hackathon, Coding Challenge, Designing, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Designing, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Innovate & Inspire-Season 12,K. Ramakrishnan College of Engineering ,https://unstop.com/hackathons/innovate-inspire-season-12-k-ramakrishnan-college-of-engineering-1472934,2025-05-01T19:33:09+05:30,hackathons,recent,544,N/A,73374,"Coding Challenge, All","Coding Challenge, All",online
HackSRIT,Shri Ram Group of Institutions Jabalpur,https://unstop.com/hackathons/hacksrit-shri-ram-group-of-institutions-jabalpur-1471613,2025-04-29T00:00:00+05:30,hackathons,recent,1166,N/A,61144,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Hack The Box,"I.T.S Engineering College (ITSEC), Greater Noida",https://unstop.com/hackathons/hack-the-box-techtrix-2025-its-engineering-college-itsec-greater-noida-1470814,2025-04-25T13:00:00+05:30,hackathons,recent,230,N/A,43234,"Engineering Students, Postgraduate, Undergraduate, Coding Challenge, College Festival, Entrepreneurship","Engineering Students, Postgraduate, Undergraduate, Coding Challenge, College Festival, Entrepreneurship",offline
Cyber Etymology,"BGS College of Engineering and Technology, Bengaluru, Karnataka",https://unstop.com/hackathons/cyber-etymology-samvit-bgs-college-of-engineering-and-technology-bengaluru-karnataka-1471319,2025-04-29T00:00:00+05:30,hackathons,recent,50,N/A,31176,"All, Dance","All, Dance",offline
CSS Battle,"BGS College of Engineering and Technology, Bengaluru, Karnataka",https://unstop.com/hackathons/css-battle-bgs-college-of-engineering-and-technology-bengaluru-karnataka-1471303,2025-04-29T00:00:00+05:30,hackathons,recent,86,N/A,28980,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Inventus Innovation Challenge,Aetervia,https://unstop.com/hackathons/inventus-innovation-challenge-aetervia-1463345,2025-04-13T00:00:00+05:30,hackathons,recent,131,N/A,35788,"Hackathon, Business Plan, Entrepreneurship, Robotics, Others, Engineering Students, Undergraduate","Hackathon, Business Plan, Entrepreneurship, Robotics, Others, Engineering Students, Undergraduate",online
Gmocs - CodeRush,"Madanapalle Institute of Technology and Science (MITS), Madanapalle, Andhra Pradesh",https://unstop.com/hackathons/gmocs-coderush-madanapalle-institute-of-technology-and-science-mits-madanapalle-andhra-pradesh-1470799,2025-04-28T00:00:00+05:30,hackathons,recent,211,N/A,20268,"All, Coding Challenge","All, Coding Challenge",online
Hack The Issue,"I.T.S Engineering College (ITSEC), Greater Noida",https://unstop.com/hackathons/hack-the-issue-techtrix-2025-its-engineering-college-itsec-greater-noida-1469976,2025-04-25T13:00:00+05:30,hackathons,recent,51,N/A,18045,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals",offline
AI at Freadom Edu,Freadom Edu Private Limited,https://unstop.com/hackathons/ai-at-freadom-edu-freadom-edu-private-limited-1470889,2025-04-28T00:00:00+05:30,hackathons,recent,38,N/A,8531,"Coding Challenge, Case Study, Hackathon, Engineering Students, Undergraduate","Coding Challenge, Case Study, Hackathon, Engineering Students, Undergraduate",online
CodeClash 2025 – The Battle of Algorithms,Lets Code Community,https://unstop.com/hackathons/codeclash-2025-the-battle-of-algorithms-lets-code-community-1470472,2025-04-27T00:00:00+05:30,hackathons,recent,5725,N/A,141442,"Coding Challenge, All","Coding Challenge, All",online
AIZureStack ( AI + Azure),CertifyO,https://unstop.com/hackathons/aizurestack-certifyo-1470204,2025-04-27T00:00:00+05:30,hackathons,recent,141,N/A,39016,"Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
IEEE Summer Of Code,BMS Insitute of Technology and Management,https://unstop.com/hackathons/ieee-summer-of-code-bms-insitute-of-technology-and-management-1469982,2025-04-26T00:00:00+05:30,hackathons,recent,3024,N/A,1862244,"Postgraduate, Coding Challenge, Engineering Students, Undergraduate, Fresher, School Students","Postgraduate, Coding Challenge, Engineering Students, Undergraduate, Fresher, School Students",online
Hackera CTF 2025,"Graphic Era (Deemed to be University) (GEU), Dehradun",https://unstop.com/hackathons/hackera-ctf-2025-graphic-era-deemed-to-be-university-geu-dehradun-1469312,2025-04-25T00:00:00+05:30,hackathons,recent,331,N/A,42717,"Engineering, Hackathon, Coding Challenge, All","Engineering, Hackathon, Coding Challenge, All",offline
Hackmivo,Admivo International Education Consulting,https://unstop.com/hackathons/hackmivo-admivo-international-education-consulting-1469904,2025-04-26T00:00:00+05:30,hackathons,recent,81,N/A,94447,"Coding Challenge, All","Coding Challenge, All",offline
StratovateX: National Management Hackathon,Graphic Era University,https://unstop.com/hackathons/stratovatex-national-management-hackathon-graphic-era-university-1469698,2025-04-25T00:00:00+05:30,hackathons,recent,21,N/A,23178,"College Festival, Hackathon, Awards, Data Science, MBA Students, Undergraduate","College Festival, Hackathon, Awards, Data Science, MBA Students, Undergraduate",offline
Reverse Coding,"Indian Institute of Technology (IIT), Madras",https://unstop.com/hackathons/reverse-coding-cs-exebit-2025-iit-madras-1469059,2025-04-24T00:00:00+05:30,hackathons,recent,18,N/A,17504,"All, Coding Challenge, College Festival, Awards","All, Coding Challenge, College Festival, Awards",offline
Cystar 24-Hour Hackathon,"Indian Institute of Technology (IIT), Madras",https://unstop.com/hackathons/cystar-24-hour-hackathon-cs-exebit-2025-iit-madras-1469132,2025-04-25T00:00:00+05:30,hackathons,recent,24,N/A,29220,"All, Hackathon, Coding Challenge, College Festival","All, Hackathon, Coding Challenge, College Festival",offline
